first_seen	node_name	fuse_first	n_ids_first	rows
474	ffn_moe_up-18.dst	1	4	4
475	ffn_gate-18.dst	1	4	4
476	ffn_up-18.dst	1	4	4
477	shared_expert_gate-18.dst	1	2	4
478	ffn_moe_down-18.dst	1	4	4
479	ffn_shexp-18.dst	1	4	4
480	ffn_shexp_gated-18.dst	1	4	4
481	ffn_moe_weights_norm-18.dst	1	4	4
482	ffn_moe_weighted-18.dst	1	4	4
483	ffn_moe_out-18.dst	7	4	4
484	l_out-18.dst	2	4	4
485	attn_norm-19.dst	2	4	4
486	Qcur_full-19.dst	1	4	4
487	Vcur-19.dst	1	4	4
488	Kcur-19.dst	1	4	4
489	Qcur_normed-19.dst	2	4	4
490	Kcur_normed-19.dst	2	4	4
491	node_1869.dst	1	4	4
492	attn_post_norm-19.dst	2	4	4
493	ffn_moe_logits_raw-19.dst	1	4	4
494	attn_gated-19.dst	1	4	4
495	attn_output-19.dst	1	4	4
496	attn_residual-19.dst	1	4	4
497	ffn_moe_gate-19.dst	1	4	4
498	ffn_moe_up-19.dst	1	4	4
499	ffn_gate-19.dst	1	4	4
500	ffn_up-19.dst	1	4	4
501	shared_expert_gate-19.dst	1	2	4
502	ffn_moe_down-19.dst	1	4	4
503	ffn_shexp-19.dst	1	4	4
504	ffn_shexp_gated-19.dst	1	4	4
505	ffn_moe_weights_norm-19.dst	1	4	4
506	ffn_moe_weighted-19.dst	1	4	4
507	ffn_moe_out-19.dst	7	4	4
508	l_out-19.dst	2	4	4
509	attn_norm-20.dst	2	4	4
510	node_1933.dst	1	4	4
511	node_1954.dst	1	4	4
512	node_1960.dst	1	4	4
513	node_1956.dst	1	4	4
514	norm-20.dst	1	4	4
515	z-20.dst	1	4	4
516	attn_residual-20.dst	1	4	4
517	attn_post_norm-20.dst	2	4	4
518	ffn_moe_logits_raw-20.dst	1	4	4
519	gate-20.dst	1	4	4
520	node_1970.dst	1	4	4
521	node_1974.dst	1	4	4
522	linear_attn_out-20.dst	1	4	4
523	ffn_moe_gate-20.dst	1	4	4
524	ffn_moe_up-20.dst	1	4	4
525	ffn_gate-20.dst	1	4	4
526	ffn_up-20.dst	1	4	4
527	shared_expert_gate-20.dst	1	2	4
528	ffn_moe_down-20.dst	1	4	4
529	ffn_shexp-20.dst	1	4	4
530	ffn_shexp_gated-20.dst	1	4	4
531	ffn_moe_weights_norm-20.dst	1	4	4
532	ffn_moe_weighted-20.dst	1	4	4
533	ffn_moe_out-20.dst	7	4	4
534	l_out-20.dst	2	4	4
535	attn_norm-21.dst	2	4	4
536	node_2032.dst	1	4	4
537	node_2053.dst	1	4	4
538	node_2059.dst	1	4	4
539	node_2055.dst	1	4	4
540	gate-21.dst	1	4	4
541	z-21.dst	1	4	4
542	node_2069.dst	1	4	4
543	node_2073.dst	1	4	4
544	attn_residual-21.dst	1	4	4
545	linear_attn_out-21.dst	1	4	4
546	attn_post_norm-21.dst	2	4	4
547	ffn_moe_logits_raw-21.dst	1	4	4
548	norm-21.dst	1	4	4
549	ffn_moe_gate-21.dst	1	4	4
